Police Station,Year,Type,Date,Time,Place,Latitude,Longitude
Konanakunte,2018,Ordinary Theft,6/22/2018,,"NEAR BANASHANKARI TEMPLE, KANAKAPURA MAIN ROAD, BANGALORE",12.91667162,77.57345539
Konanakunte,2018,Ordinary Theft,7/13/2018,,"BANASHANKARI TEMPLE , BANASHANKARI",12.91667162,77.57345539
Konanakunte,2018,Ordinary Theft,7/13/2018,,"SHREE BANASHAKARI TEMPLE, KANAKAPURA MAIN ROAD, BANASHANKARI BANGALORE",12.91667162,77.57345539
Konanakunte,2018,Ordinary Theft,8/4/2018,,"SHREE BANASHANKARI TEMPLE, KANAKAPURA ROAD BANGALORE",12.91667162,77.57345539
Konanakunte,2018,Ordinary Theft,11/6/2018,,"SHREE BANASHANKARI TEMPLE KARIYAPPA ROAD, KANAKAPURA ROAD BANGALORE",12.91667162,77.57345539
Konanakunte,2018,Ordinary Theft,11/15/2018,,"TALUK PANCHAYHI BANGALORE SOUTH, BANASHANKARI",12.91667162,77.57345539
Konanakunte,2019,Ordinary Theft,1/22/2019,17:30,"SHREE BANASHANKARI TEMPLE BANASHANKARI, KANAKAPURA MAIN ROAD BANGALORE",12.91667162,77.57345539
Konanakunte,2019,Ordinary Theft,6/16/2019,16:00,"BANSHANKARI METRO STION, PLFORM BANSHANKARI 2ND STAGE KANAKAPURA MAIN ROAD BANGALORE CITY",12.91667162,77.57345539
Girinagar,2015,2 wheeler theft,17/01/2015,2:15:00 PM,"NEAR WOODY'S RESTORENT, MARENAHALLI, Bengaluru City, Karnaka,
560078",12.9166719,77.5892002
Girinagar,2016,2 wheeler theft,24/03/2016,5:40:00 PM,"Infront Of woody's Hotel, 2nd Phase J.P Nagar, Bengaluru City, Karnaka, 560078",12.9166719,77.5892002
Girinagar,2017,2 wheeler theft,27/06/2017,12:00:00 PM,"infront of Woody's Hotel, 7th Main,Near Bengalure, Central Mall, J.P.Nagar 2nd
Phase, Bengaluru City, Karnaka, 560078",12.9166719,77.5892002
Girinagar,2015,2 wheeler theft,19/01/2015,1:10:00 PM,"Opp Aradhana Restorant, Service Road, Bannerughta Road, Bengaluru City,
Karnaka, 560078",12.9166979,77.5826341
C K Achuktu,2018,2 wheeler theft,27/10/2018,8:00:00 PM,"Infront of the House
No-88/23, 3rd main, 6th
Cross, MTB Area, 4th T
Block Jayanagar, Bengalu",12.9167,77.59763
C K Achuktu,2019,2 wheeler theft,2/4/2019,,"Sri Rabaa Ahmed S/O Mohammed M, No.76/10, 3rd Main road, 8th Cross, MTB Area, %th Block Jayanagara, Bengalore.",12.9167,77.59763
C K Achuktu,2019,2 wheeler theft,2/28/2019,,"Infront of No.59/20, 2nd main, MTB Area, Jayangara 4th T Block, Bengalore.",12.9167,77.59763
K S Layout,2016,Ordinary Theft,3/1/2016,18:50,"KARUMARIYAMMA TEMPLE, 18th MAIN, 4th T BLOCK, JAYANAGAR",12.9167,77.59763
K S Layout,2017,Ordinary Theft,21/12/2017,16:40,"NO,111/13 3rd Main Road ,4Th Cross, Marenahalli Kere Angala",12.9167,77.59763
K S Layout,2017,Ordinary Theft,15/12/2017,23:50,"NEAR APPOLO CRADEL HOSPTEL,3RD BLOCK JAYANAGAR",12.9167,77.59763
K S Layout,2018,Ordinary Theft,10/27/2018,18:00,"No-350/A, 8th Main road, MTB Area, 5th Block Jayanagar",12.9167,77.58953
Subramanyapura,2019,Assault,7/3/2019,,"Near Ragigudda Arch,,
Jayanagar 9th Block,
Bengaluru City,
Karnaka-560078",12.916734,77.5911325
K S Layout,2018,4 Wheeler Theft,14/11/2018,11:00,"Infront of No/104, 14th main, 39th C cross, 4th T Block Jayanagar",12.916744,77.597456
K S Layout,2015,Ordinary Theft,5/9/2015,21:15,"RAGIGUDDA BUS STAND, JAYANAGAR 9th BLOCK, JAYANAGAR",12.916757,77.593434
Hanumantha Nagar,2019,2 wheeler theft,13/05/2019,10:00:00 AM,"In Frount House
No-612, 10th Cross, 17th
Main, Padmanabhanagar,
Bengaluru City,",12.91676,77.56088
Subramanyapura,2015,Assault,15/09/2015,6:10,"FAMOUS BAR AND
RESTOURENT, JP
NAGAR 2ND PHASE,
Bengaluru City,
Karnaka-560078",12.9167674,77.5872982
Konanakunte,2015,Ordinary Theft,26/02/2015,13:30,"In front of Cycle
Showroom, Kadirenahalli
Circle, Banashankari 2nd
Stage, Bengaluru City,",12.91678611,77.56083333
C K Achuktu,2017,2 wheeler theft,4/12/2017,7:00:00 AM,"No. 57/12, 2nd Main, Marenahalli, Tank Bund Road,5th Block jayanagar",12.916792,77.586598
Girinagar,2017,2 wheeler theft,18/07/2017,5:35:00 PM,"Infront of Varamahalakshmi silk, 46th Cross,, JAYANAGAR 5TH BLOCK,
Bengaluru City, Karnaka, 560041",12.9168337,77.5810239
Hanumantha Nagar,2017,2 wheeler theft,16/12/2017,11:00:00 AM,"Near Woody's Hotel, 17th Main,, Bangalore Centrel Mal17th Main, JP Nagar 2nd
Phase, Bengaluru City, Karnaka, 560078",12.9168346,77.5918358
Shankarapua,2016,Kidnap,23/05/2016,18:30,"no 54, 1st cross shimhadri layout kr hospital road, uttarahalli b-61",12.91684492,77.54985732
Basavanagudi,2015,Chain Snatching,30/09/2015,7:30,"Infront of House no.1388, South End ""A"" Road,, 9th Block Jayanagara, Near East
end Cricle, Bengaluru City, Karnaka, 560078",12.9168548,77.5954424
Banashankari,2017,Robbery,28/03/2017,13:32,"Near Famous Bar, 46th Cross, J.P.Nagar 2nd Phase, Bengaluru City, Karnaka,
560078",12.9168638,77.5832552
K S Layout,2016,Ordinary Theft,5/7/2016,13:30,"Infront of Garden City,Hospital, 3rd Block,Jayanagara, Bengaluru City",12.916869,77.589571
Girinagar,2017,2 wheeler theft,18/07/2017,5:50:00 PM,"Infront of NO.659, Keshava Nilaya, 30th Main,, 13th Cross, J P Nagar 1st phase,
Bengaluru City, Karnaka, 560078",12.9168802,77.5657029
J P Nagar,2017,2 wheeler theft,1/2/2017,21:00 PM,CHAITAYA SCHOOL NEAR ITTAMADU MAIN ROAD BENGALORE CITY,12.91688388,77.54201107
J P Nagar,2017,2 wheeler theft,20/02/2017,15:00 PM,MALE MADESHAWAR TENT HOUSE OPP AGS LAYOUT BENGALORE CITY,12.91688388,77.54201107
J P Nagar,2017,2 wheeler theft,17/10/2017,9:15:00 PM,AGS LAYOUT AREHALLI BENGALORE CITY,12.91688388,77.54201107
K S Layout,2017,4 Wheeler Theft,27/03/2017,10:30,1ST MAIN ROAD AREHALLI SAPTAGIRI LAYOUT ITTAMADU BENGALORE CITY,12.91688388,77.54201107
Subramanyapura,2015,Assault,26/06/2015,14:35,AGS LAYOUT AREHALLI BANGALORE,12.91688388,77.54201107
Subramanyapura,2015,Assault,02/07/2015,17:40,"TMC COLLGE ROAD, HARINAGARA BANGALORE",12.91688388,77.54201107
Subramanyapura,2016,Assault,23/02/2016,7:10,ARHALLI BANGALORE,12.91688388,77.54201107
Subramanyapura,2017,Assault,23/11/2017,18:30,ITTAMADU MAIN ROAD AREHALLI BANGALORE,12.91688388,77.54201107
Subramanyapura,2018,Assault,23/04/2018,10:00,SLV BAR ITTAMADU MAIN ROAD NEAR OIL AANUGODI ITTMANDU MAIN ROAD ARENALLI,12.91688388,77.54201107
K S Layout,2018,4 Wheeler Theft,6/12/2018,16:15,"Parking Place 6th
Cross,opp
Mahadeveshwara Film,
Takies, kadirenahally, BSK
2nd stage, Bengaluru City,",12.9169,77.559677
Banashankari,2018,Robbery,6/12/2018,14:00,"11TH MAIN, 46TH CROSS JUNCTION, NEAR RAGHAVENDRA SWAMY TEMPLE, 5TH BLOCK JAYANAGAR",12.91691,77.5857
C K Achuktu,2018,2 wheeler theft,2/10/2018,6:00:00 PM,"Near R V Metro stion,
5th Block Jayanagar,
Bengaluru City",12.91691,77.5857
C K Achuktu,2018,2 wheeler theft,24/10/2018,12:00:00 AM,"INFRONT OF HOUSE
NO-272, 4TH MAIN,
MARENAHALLI,
JAYANAGAR, Bengaluru",12.91691,77.585701
C K Achuktu,2019,2 wheeler theft,3/6/2019,9:00:00 AM,"Opposite Nandini milk
shop, 5th main, Near RV
Road Metro stion, 5th
Block Jayanagar, Bengaluru",12.91691,77.585701
K S Layout,2019,Ordinary Theft,01/06/19,18:45,"Near Alchemy, 36th
Cross, 5th Main, 5th Block
Jayanagar, Bengaluru City",12.91691,77.585701
C K Achuktu,2018,2 wheeler theft,13/07/2018,11:00:00 AM,"Infront of No.461, 16th
Cross, 11th B Main,, 5th
Block Jayanagara,
Bengaluru City,",12.91695,77.586775
Hanumantha Nagar,2019,2 wheeler theft,12/12/2019,3:45:00 PM,"Beside Woodis hottel, 17th main, JP Nagar 2nd Phase, Bengaluru City, Karnaka,
560078",12.916958,77591343
Basavanagudi,2018,Robbery,9/8/2018,16:00,"Near Central Mall, Jayanagar 9th Block, J P Nagar, Bengaluru City, Karnaka,",12.9169723,77.5901235
J P Nagar,2016,2 wheeler theft,2/10/2016,16:00 PM,"R,K LAYOUT PADHANABHANAGAR BENGALORE CITY",12.91697268,77.56139175
Banashankari,2016,Robbery,1/9/2016,:15:00,"Aravinda Circle, 9th Cross,, 1st phase J P Nagar, Bengaluru City, Karnaka,",12.9169843,77.5836119
C K Achuktu,2015,2 wheeler theft,7/1/2015,7:15:00 PM,"NEAR COFFEE DAY, 11TH MAIN 4TH BLOCK JAYANAGAR",12.91699,77.58934
K S Layout,2016,Ordinary Theft,22/07/2016,10:35,"IN FRONT OF NO-406 18th CROSS NEW DIAGNAL ROAD, 3rd BLOCK JAYANAGARA,",12.91699,77.58934
Banashankari,2016,Robbery,1/9/2016,12:30,"Oppt. P N P Retail shop, Near Nandhini Hotel,, 24th Main, J P Nagar, Bengaluru
City, Karnaka, 560078",12.9170307,77.5682909
J P Nagar,2015,2 wheeler theft,25/05/2015,11:50:00 AM,KONANNAKUNTE BENGALORE CITY,12.91707248,77.54891947
J P Nagar,2015,2 wheeler theft,26/07/2015,8:45:00 PM,RBI LAYOUT BENGALORE CITY,12.91707248,77.54891947
C K Achuktu,2019,2 wheeler theft,17/10/2019,6:00:00 PM,"NEAR JAYANAGAR
METRO STION, 5TH
MAIN ROAD,, 30TH
CROSS,4TH BLOCK ,
JAYANAGAR, Bengaluru",12.917125,77.578344
K S Layout,2016,4 Wheeler Theft,21/10/2016,11:30,"Empty Site Near Sangam Circle, 46th Cross,Jayanagar 8th Block,",12.917125,77.578344
C K Achuktu,2017,2 wheeler theft,3/10/2017,7:30:00 PM,"BIWHK COMPANY ,NEAR SANGAM CICRLE OPPSITE MORE,SUPER MARKET 8TH BLOCK JAYANAGAR",12.91713,77.58361
Basavanagudi,2018,Chain Snatching,20/10/2018,19:30,"NEAR RAJALAXMI JUNCTION, 4th MAIN, 5th BLOCK, JAYANAGARA",12.91714,77.58078
Konanakunte,2019,Ordinary Theft,17/10/2019,11:00,"Banashankari Bus
Stop, Banasahankri 2nd
Stage, Bengaluru City,",12.9171403,77.5709063
Girinagar,2015,2 wheeler theft,16/01/2015,3:15:00 PM,"Near Bangalore Central Mall,, Jayanagar 5th Block, Bengaluru City, Karnaka,
560069",12.9171572,77.5811823
C K Achuktu,2018,2 wheeler theft,8/3/2018,8:00:00 PM,"No.293/4, 6th Main road,
Marenahalli, 5th Block
Jayanagar, Bengaluru City",12.91719,77.583363
J P Nagar,2018,2 wheeler theft,4/10/2018,10:30:00 AM,"03RD MAIN CROSS MARUTHI LYT, VASANTHAPURA, Bengaluru City,",12.91719593,77.54208621
Basavanagudi,2017,Chain Snatching,26/02/2017,20:45,"Near Hariyana Handloom, 24th Main,, J.P.Nagar 2nd Phase, Bengaluru City,
Karnaka, 560078",12.9173404,77.5683769
J P Nagar,2018,2 wheeler theft,13/06/2018,10:00:00 PM,"HANUAMAGIRI NAGARA, CHIKKALLASANDRA,BENGALORE CITY",12.91739227,77.560815
Banashankari,2018,Attempted Murder,4/2/2018,18:15PM,"NO 5TH MAIN , RAINBO TAILER SHOP BIHIND APPAYASWAMY LAYOUT BANGLORE",12.91739661,77.54533797
J P Nagar,2018,2 wheeler theft,4/9/2018,10:30:00 AM,"SHANTHAMMA BUILDING APPAYYASWAMY LYT, 05TH CROSS,
UTTARAHALLI, Bengaluru City,",12.91739661,77.54533797
J P Nagar,2019,2 wheeler theft,1/7/2019,5:30:00 PM,"NO 154 2ND FLR
2ND CROSS 5TH
MAIN
ROAD,UTTARAH
ALLI , Bengaluru",12.91739661,77.54533797
Shankarapua,2018,Kidnap,5/8/2018,19:10,"no.40/41, 5th main, ayyappa swamy lay out, uttarahalli.",12.91739661,77.54533797
Siddapura,2019,Kidnap,15/04/2019,23:00,"no.186, AK colony, appayya swami lay out, uttarahalli, bagalore.",12.91739661,77.54533797
Subramanyapura,2015,Assault,16/07/2015,14:15,APPAYYASWAMI LAYOUT BANGALORE,12.91739661,77.54533797
Subramanyapura,2016,Assault,13/03/2016,14:40,APPAYYASWAMI LAYOUT BANGALORE,12.91739661,77.54533797
C K Achuktu,2017,2 wheeler theft,7/1/2017,1:00:00 PM,"In Front Of House No 78/A, 31st A Cross,Jayanagara 7th Block",12.917411,77.58366
C K Achuktu,2017,2 wheeler theft,21/06/2017,9:15:00 PM,"Opp Raymond Showroom, No 6, 11th Main Road,Jayanagara 4th Block",12.917411,77.58366
C K Achuktu,2017,2 wheeler theft,14/11/2017,9:00:00 AM,"NEAR JAYANAGAR METRO STION, 36TH CROSS,JAYANAGAR 5TH BLOCK",12.917411,77.58366
K S Layout,2018,4 Wheeler Theft,09/06/2018,16:30,"IN FRONT OF OFFICE, 9TH MAIN, NEAR BLUEJAYS CARE,CHILD DEVELOPMENT CENTER, JAYANAGAR 5TH BLOCK",12.91743,77.583465
K S Layout,2019,Ordinary Theft,15/11/2019,18:00,"IN FRONT OF HOUSE NO 254(1117), 37th ACross,, 11th MAIN, 4th T BLOCK, JAYANAGAR,Bengaluru City",12.91743,77.583465
Banashankari,2017,Robbery,30/07/2017,17:00,"4th Crossroad, Aryanagara, J P Nagar 1st phase, Bengaluru City, Karnaka,
560078",12.9174342,77.5735833
Banashankari,2017,Robbery,4/9/2017,9:30,"VET Collage Road, J P Nagar 2nd phase, Bengaluru City, Karnaka, 560078",12.9174602,77.5670172
Konanakunte,2018,Ordinary Theft,24/01/2018,15:00,"Shri. Prasanna Anjaneyaswamy Temple, Ragigudda, Jayanagar 9th Block,
Bengaluru City, Karnaka,",12.9174923,77.5905657
Hanumantha Nagar,2018,2 wheeler theft,12/2/2018,5:00:00 PM,"INfront of No.1347, 8th Crossroad, 32nd Mainroad, J P Nagar 1st phase,
Bengaluru City, Karnaka, 560078",12.917501,77.5780559
C K Achuktu,2017,2 wheeler theft,7/8/2017,8:50:00 PM,"No. 462, 44th Cross,8th Block Jayanagar",12.917511,77.5787
J P Nagar,2016,2 wheeler theft,30/08/2016,23:45 PM,CHIKKALASANDRA BENGALORE CITY,12.91752746,77.54537577
J P Nagar,2017,2 wheeler theft,28/11/2017,12:30:00 PM,NAIDU LAYOUT CHIKKALASANDRA SUBRAMANYAPUR POSTCBENGALORE CITY,12.91752746,77.54537577
C K Achuktu,2019,2 wheeler theft,28/11/2019,11:00:00 AM,"Site No. 25, Design
Cafe, 14th Cross Road,
Beside Ramakrishna
Hospital, 3rd Block
Jayanagar, Bengaluru City",12.91753,77.58358
C K Achuktu,2015,2 wheeler theft,18/02/2015,4:30:00 PM,"Near Canara Bank, 10th Main,4th Block Jayanagara",12.91756,77.58832
K S Layout,2015,Ordinary Theft,23/09/2015,16:00,"INFRONT OF NIMISHAMBHA TEMPLE, 4th MAIN, 6th Block Jayanagar",12.91756,77.58486
Siddapura,2017,Assault,25/04/2017,12:30,"33rd Cross, 9th Main,
jayanagara 4th Block,
Bengaluru City,",12.91756,77.58832
Banashankari,2017,Robbery,1/12/2017,20:45,"Near Prive Bus Stop, Banashankari Bus Stand, 46th Cross, 8th Block Jayanagar,",12.917612,77.57555
Konanakunte,2018,Ordinary Theft,21/09/2018,15:00,"Opp Of threya
Ayurveda Hospital,
Puttalingaiah Road
Padmanabhanagar,
Bengaluru City,",12.91762,77.55959
J P Nagar,2018,2 wheeler theft,4/8/2018,12:00:00 AM,OPP RELINCE FRASH ITTAMADU MAIN ROAD AREHALLI BENGALORE CITY,12.91766067,77.54218713
Shankarapua,2015,Kidnap,16/12/2015,1:00,"no 20, 1st main 8th cross, ada martha hospital road, muneswar nagar uttarahalli b-61",12.91766067,77.57653512
Subramanyapura,2015,Assault,30/12/2015,13:20,KRISHNA PRIYA HOTEL ITI APARTMENT MAIN ROAD BANGALORE,12.91766067,77.54218713
Hanumantha Nagar,2019,2 wheeler theft,28/02/2019,1:00:00 PM,"In front Of No-101/102,
7th Cross,, Bhavani Nagar,
Banashankari 2nd Stage,
Bengaluru City,",12.91768,77.56777
Puttenahalli,2015,Kidnap,6/8/2015,,"HOUSE NO.1/4,
IBRAHIM PRAYER
CHARCH ROAD,
JARAGANAHALLI NEAR
SANJEEVA HOUSE,
Bengaluru City,
Karnaka-560078",12.9177553,77.5400844
K S Layout,2016,Ordinary Theft,14712/2016,12:00,"No 114, 2nd Main,Jayanagara 6th Block,Bengaluru City, Karnaka",12.917758,77.588496
C K Achuktu,2018,2 wheeler theft,7/10/2018,7:45:00 PM,"64/1, 25th Cross,, 6th
Block ,Jayanagar,
Bengaluru City",12.91777,77.58849
C K Achuktu,2018,2 wheeler theft,25/10/2018,6:00:00 PM,"Opposte Rajarajeshwari
temple, Sakamma garden, Bengaluru",12.91777,77.588493
K S Layout,2018,Ordinary Theft,11/11/2018,17:00,"Near Yediyuru tank, Opp. Yediyuru Samudaya Bhavana, 6th Block Jayanagar",12.917775,77.5854769
Banashankari,2018,Robbery,11/11/2018,16:30,"Yadiyuru circle, 6th, Block Jayanagar, Bengaluru",12.917777,77.58849
K S Layout,2015,2 wheeler theft,13/03/2015,7:00:00 AM,"No, 66, 5th cross, Ittamadu, BSK 3rd stg, Bengluru-85",12.917831,77.54545
K S Layout,2017,4 Wheeler Theft,29/05/2017,17:30,"Infront of House No.670, 11th B Mainroad, J.P.Nagar 2nd Phase, Bengaluru City,
Karnaka, 560078",12.9178748,77.5845514
Hanumantha Nagar,2018,2 wheeler theft,25/06/2018,10:45:00 AM,"Opp Aiyengar
Bakery,NU Hospital Road,
Padmanabhanagar,
Bengaluru City,",12.917888,77.555785
J P Nagar,2017,2 wheeler theft,7/11/2017,8:30:00 PM,TEMPLE ROAD MUNESHAWAR NAGAR KADIRENHALLI BENGALORE CITY,12.91789,77.559799
K S Layout,2017,Ordinary Theft,14/06/2017,20:30,"18th Main, Near al Bihari Vajapeyi Bus Stop, Jayanagar 4th T Block",12.9179,77.58718
K G Nagar,2015,Ordinary Theft,20/01/2015,13:15,"Near Gurumutrthappa kalayana mantapa, 8th block Jayanagar Banashankari
circle, Bengaluru City, Karnaka,",12.9179451,77.5717196
Banashankari,2018,Robbery,24/10/2018,2:00,"NEAR ALLEN COLLEGE, ANEBANDE ROAD,3RD BLOCK JAYANAGAR",12.91795,77.588783
C K Achuktu,2016,2 wheeler theft,24/03/2016,1:30:00 PM,"Infront of Milk Booth, 16th Cross, Chamaraja,Kalyana Mantapa road, 3rd Block, Jayanagara",12.91795,77.58878
C K Achuktu,2018,2 wheeler theft,8/10/2018,10:30:00 AM,"Laibrary road, 5th main,
3rd Block Jayanagar,
Bengaluru City",12.91795,77.58878
Subramanyapura,2019,Assault,24/06/2019,4:00,"NIONAL COLLEGE,
7TH BLOCK JAYANAGAR,
Bengaluru City,",12.91795,77.58878
Subramanyapura,2018,Assault,11/09/2018,12:30,"#NA, Naer Urdu school, Yarab nagara, BSK 2nd stage, Bengaluru City,",12.91795,77.55935
C K Achuktu,2016,2 wheeler theft,29/04/2016,1:30:00 PM,"No 159, 32nd Cross, 11th Main,Jayanagara 4th Block",12.91796,77.600883
Hanumantha Nagar,2018,2 wheeler theft,1/12/2018,3:30:00 PM,"In front No-399,
Yashaswini, 10th Cross, 9th
Main, Padmanabhanagar,
Bengaluru City,",12.91796,77.558434
Hanumantha Nagar,2018,2 wheeler theft,31/12/2018,5:00:00 PM,"In front No 3633,4th
Cross, 9th Main,
Banashankari 2nd stage,
Bengaluru City,",12.91796,77.558434
Subramanyapura,2019,Assault,28/12/2019,12:00,"No 15,37th cross 14th
main, 4th T Block
Jayanagar, Bengaluru City",12.91796,77.600883
Banashankari,2016,Attempted Murder,11/1/2016,21:15PM,5TH B CROSS OM NEAR SHAKTI TEPMLE HANUMAGIRI NAGARA CHIKLASANDRA BANGLORE,12.917986,77.553778
J P Nagar,2018,2 wheeler theft,8/9/2018,12:00:00 PM,"NO,06 REYAS ASHWH KTE STREET, CHIKKALLASANDRA, Bengaluru
City,",12.917986,77.553778
J P Nagar,2018,2 wheeler theft,21/09/2018,5:00:00 PM,"HANUMAGIRI NISARGA LAYOUT, AJANTHA ENCLAVE
APTS, Bengaluru City,",12.917986,77.553778
Siddapura,2018,Kidnap,20/11/2018,16:00,"no.04, vindya nilaya, 5th main, 5th cross, hanumagiri nagra, bengalore.",12.917986,77.553778
Banashankari,2015,Robbery,25/02/2015,13:30,"NEAR BMTC BUS STAND, 30th CROSS, 4th BLOCK, JAYANAGAR Bangalore",12.91802,77.58833
Banashankari,2018,Robbery,16/04/2018,9:30,"Near Adishwara Showroom, 9th Main Road, 40th Cross 5th Block Jayanagar",12.91802,77.588333
C K Achuktu,2017,2 wheeler theft,23/04/2017,3:00:00 PM,"Infront of House No.137,13th Cross, Pipeline Road,Shakambari Nagar, J P Nagar 1st Phase,",12.91802,77.58833
C K Achuktu,2017,2 wheeler theft,24/09/2017,11:00:00 AM,"No. #275, 9th A Main Road,5th Block Jayanagar",12.91802,77.58833
C K Achuktu,2017,2 wheeler theft,27/08/2017,11:00:00 AM,"NO.128/51, 25TH CROSS ,YADIYURU KANAKAPUR ROAD,6TH, BLOCK JAYANAGAR",12.91802,77.57665
C K Achuktu,2018,2 wheeler theft,7/9/2018,11:00:00 AM,"Opposite Adigas Hotel,
27th Cross, 11th main, 4th
Block Jayanagar, Bengaluru",12.91802,77.58833
C K Achuktu,2018,2 wheeler theft,10/9/2018,11:30:00 AM,"No. 238, 37th A Cross,
11th main, 4th T Block
Jayanagar, Bengaluru City,",12.91802,77.58833
C K Achuktu,2018,2 wheeler theft,18/09/2018,2:00:00 PM,"Infront of
Uttarakarnaka Food Shop,
Near Ram, temple35th
Cross, 13th main, 4th T
Block Jayanagar, Bengaluru",12.91802,77.58833
C K Achuktu,2018,2 wheeler theft,28/09/2018,4:00:00 PM,"No 181/18 IN FRONT
OF SPACC COMPANY,
5TH MAIN,, JAYANAGAR
4TH BLOCK, Bengaluru",12.91802,77.588333
C K Achuktu,2018,2 wheeler theft,5/10/2018,8:30:00 PM,"NEAR WER TANK
PARKING PLACE, 10TH MAIN ROAD,,
JAYANAGAR 4TH BLOCK,
Bengaluru City,",12.91802,77.588333
C K Achuktu,2019,2 wheeler theft,29/04/2019,11:00:00 AM,"PARK ROAD,
JAYANAGAR METRO
STION, 5TH
MAINROAD, 4TH BLOCK
JAYANAGAR, Bengaluru",12.91802,77.588333
K S Layout,2015,Ordinary Theft,14/01/2015,22:40,"Opposite High Street Building, Adjust to Vijaya, College, 4th Block, Jayanagara",12.918025,7758835
K S Layout,2015,Ordinary Theft,22/05/2015,17:30,"BMTC bus stop, 4th Block, Jayanagara",12.918025,77.58835
K S Layout,2015,Ordinary Theft,25/10/2015,20:20,"While travelling in BMTC Bus No 25A, towards, Jayanagara 4th Block,",12.918028,77.58842
K S Layout,2015,4 Wheeler Theft,04/09/2015,13:30,"INFRONT OF NO.423, 11th B MAIN, 17tH CROSS,5th BLOCK, JAYANAGAR",12.918081,77.587101
Girinagar,2015,2 wheeler theft,5/10/2015,11:30:00 AM,"In Front of House No-1796, 18th A' Main, 9th Cross, JP Nagar 2nd Phase,
Bengaluru City, Karnaka, 560078",12.9182129,77.5874986
Basavanagudi,2019,Chain Snatching,26/03/2019,17:15Hrs,"10th Cross,,
Padmanabhanagar,
Bengaluru City,",12.918253,77.557676
J P Nagar,2016,2 wheeler theft,11/5/2016,10:50:00 PM,CHIKKALASANDRA BENGALORE CITY,12.91825356,77.54330989
Hanumantha Nagar,2019,2 wheeler theft,9/2/2019,11:00:00 AM,"Near SBM Bank
Venkesh Das Road, 10th
Cross, Padmanabhanagar,
Bengaluru City,",12.91827,77.55868
J P Nagar,2015,2 wheeler theft,23/12/2015,5:30:00 PM,SUBRAMANYAPUR MAIN ROAD BENGALORE CITY,12.91828297,77.55232885
Subramanyapura,2016,Assault,15/08/2016,10:40,CHIKKALASANDRA NEAR BUS STOP BANGALORE,12.91828297,77.55232885
Subramanyapura,2017,Assault,31/10/2017,18:30,1ST CROSS MUNISWARA NAGARA VENKESHAPPA BUILDING SLV ESTE AGENCY OFFICE BANGALORE,12.91828297,77.55232885
J P Nagar,2016,2 wheeler theft,24/05/2016,11:00:00 PM,HANUMAGIRI NAGAR CHIKKALASANDRA BENGALORE CITY,12.91834543,77.55184958
J P Nagar,2016,2 wheeler theft,8/9/2016,10:30:00 PM,HANUMAGIRI NAGAR CHIKKALASANDRA BENGALORE CITY,12.91834543,77.55184958
Girinagar,2015,2 wheeler theft,28/04/2015,11:15:00 PM,"In Front of House No-1875, South C' Cross,, 28th Main, Jayanagara 9th Block,
Bengaluru City, Karnaka,",12.9183568,77.6028079
Konanakunte,2016,Ordinary Theft,19/09/2016,17:50,"No-1676, 35th Cross,
between15&16th main,,
Banashankari 2nd Stage,
Bengaluru City,",12.91837222,77.56638889
C K Achuktu,2015,2 wheeler theft,5/1/2015,7:45:00 PM,"INFRONT OF NO.168/3, 26th CROSS, 2nd D. MAIN,6th BLOCK, JAYANAGAR",12.9184,77.58268
K S Layout,2017,Ordinary Theft,1/6/2017,14:30,"Near No.398, 43rd Cross,Jayanagart 8th Block,",12.9184,77.58268
Hanumantha Nagar,2018,2 wheeler theft,7/3/2018,11:00:00 AM,"Infort of house No 52.3rd
cross, Teacher colony,BSK
2nd stage, Bengaluru City,",12.91842,77.619725
K S Layout,2016,Ordinary Theft,3/9/2016,14:00,"Infront of JCCA Club,9th Main,, 4th Block,Jayanagar, Bengaluru City",12.91845,77.584881
K S Layout,2018,Ordinary Theft,17/04/2018,8:45,"SRI AMBI JEWELLERS, 63/7, 10TH MAIN,4TH BLOCK JAYANAGAR",12.9184578,77.58458
C K Achuktu,2016,2 wheeler theft,20/12/2016,2:00:00 PM,"In Front Of Lakshmi Vilas Bank, 30th Cross,8th Main, Jayanagara 4th Block",12.918471,77.572424
Banashankari,2017,Attempted Murder,8/11/2017,23:45,"#NA, Near Uday
Cering, Brigade M.M road,
Yadiyuru, Jayanagara 6th
block, Bengaluru City,",12.91851,77.58122
C K Achuktu,2019,2 wheeler theft,2/26/2019,,"Infront Of Gajanana Jewellery, Daiganal Road, 6th Main, Jayanagara 4th Block, Bengalore.",12.91851,77.58122
Konanakunte,2016,Ordinary Theft,11/4/2016,19:45,"No-39/3A, ACC Cement
Agency,, Opp JBS Nursing
Home, BSK main road, BSK
2nd stage, Bengaluru City,",12.91854167,77.57138889
K S Layout,2015,Ordinary Theft,3/3/2015,18:00,"INFRONT OF MYSORE SILK SHOW ROOM, 8TH C MAIN, 4TH BLOCK JAYANAGARA",12.91856,77.58466
C K Achuktu,2018,2 wheeler theft,22/02/2018,1:00:00 PM,"No.522, 41st cross, 1st
main, 8th block jayanagar,
Bengaluru City",12.918629,77.575662
C K Achuktu,2016,2 wheeler theft,1/9/2016,10:00:00 AM,"Infront of Surana College Ge,Near Southend Circle,",12.918664,77.579765
