Police Station,Year,Type,Date,Time,Place,Latitude,Longitude
K G Nagar,2017,2 wheeler theft,7/4/2017,9:30:00 AM,"Bihend Parking Place Near, ICICI Bank, Jantah Bazar,BSK 3rd stg, Bengluru-85",12.551859,77.330585
K G Nagar,2017,2 wheeler theft,13/09/2017,10:15:00 PM,"Parking place Near Gold Zim, Devegowda Petrol Bunk, BSK 3rd stg, Bengluru-85",12.552047,77.333325
K S Layout,2017,4 Wheeler Theft,3/10/2017,10:00,"No, 09, Surya Eleventors PVT LTD, BSK 3rd stg, Bengluru/85",12.552074,77333558
K G Nagar,2018,2 wheeler theft,21/06/2018,18:00 PM,"No-289/B, 6th cross,5th block,BSK 3rd stg, Bengluru-85,",12.552193,77.330624
V V Puram,2015,Assault,15/11/2015,19:30,"Near Hanumantha Nagara Police Stion, 11th Cross, Ashoka Nagara, BSK 1st Stage, Bengaluru",12.5522,77.3357
K G Nagar,2018,2 wheeler theft,11/6/2018,19:00 PM,"No-11,1st B cross,5th block,kamakya layout,BSK 3rd stg, Bengluru-85,",12.552227,77.330864
Hanumantha Nagar,2018,2 wheeler theft,24/07/2018,5:15:00 PM,"Infornt of House No
131.1st Main, Ganesh
Mandira road,
Thyagarajanagar,
Bengaluru City,",12.5523,77.3431
Basavanagudi,2017,Robbery,2/9/2017,11:00 PM,"Near Bhuvneshwarinagar Park, BSK 3rd stg, Bengluru-85",12.552341,77.325721
K S Layout,2015,Ordinary Theft,2/5/2015,0:20,"Near Sya Sai junction, 9th main, 36th cross, Jayanagara 5th block",12.552347,77.35059
K G Nagar,2018,2 wheeler theft,31/01/2018,10:00:00 AM,"No-44,vignershvara nilaya,23cross,manjunh nagara,ittamadu,BSK 3rd stg, Bengluru-85",12.552396,77.32476
K G Nagar,2018,2 wheeler theft,1/6/2018,6:30:00 PM,"No-411,1st cross,5th main,5th block,BSK 3rd stg, Bengluru-85,",12.552546,77.325933
K G Nagar,2018,2 wheeler theft,10/7/2018,20:30 PM,"Lakshmi ladies tilor,1main,5th block, bhuvaneshvari nagara,BSK 3rd stg, Bengluru-85,",12.552635,77.330175
K G Nagar,2018,2 wheeler theft,17/09/2018,15:15 PM,"No-750 ,8th main,bhuvaneshvari nagara,BSK 3rd stg, Bengluru-85,",12.552728,77.325245
K G Nagar,2018,2 wheeler theft,28/08/2018,11:30:00 AM,"No-399,2nd cross,3rd face,bhuvaneshvari nagara,BSK 3rd stg, Bengluru-85,",12.552743,77.325981
K G Nagar,2018,2 wheeler theft,5/8/2018,17:15 PM,"Wer tank,kreguppe,BSK 3rd stg, Bengluru-85,",12.552801,77.332249
V V Puram,2016,Assault,10/01/2016,10:45,"Webstern School Opposite Road, Ashok Nagara, Bengaluru City",12.5529,77.3437
K G Nagar,2017,2 wheeler theft,27/10/2017,9:00:00 AM,"No, 133, Meenakshi krupa, 3rd cross, BSK 3rd stg, Bengluru-85",12.553254,77.330079
Jayanagar,2018,2 wheeler theft,11/30/2018,2:10:00 PM,"NO 45. 1ST MAIN, DTREYANAGARA, HOSAKEREHALLI, Bengaluru City,
Karnaka, 560085",12.5534,77.3227
Basavanagudi,2018,Robbery,9/4/2018,22:20PM,"NO, 56, Renuka Nivasa 1st main, 6th cross, BSK 3rd stg, Bengluru-85",12.553432,77.325119
K G Nagar,2018,2 wheeler theft,29/05/2018,16:30 PM,"Annakuteera hotel,1cross,keguppe main road,BSK 3rd stg, Bengluru-85,",12.553458,77.325984
K G Nagar,2018,2 wheeler theft,4/8/2018,11:30:00 AM,"No-35/93,4th A cross,2nd block,kreguppe,BSK 3rd stg, Bengluru-85,",12.55348,77.331106
K G Nagar,2017,2 wheeler theft,4/11/2017,8:00:00 AM,"Near Khriguppe Arach, BSK 3rd stg, Bengluru-85",12.553632,77.325491
C K Achuktu,2016,2 wheeler theft,21/01/2016,11:45:00 AM,"Parking place, infront of Poornima Convention Hall,4th Block, Jayanagara",12.553641,77.350641
Subramanyapura,2017,Assault,28/11/2017,8:45,"No. #524, 33rd Cross,
10th Main, 4th T Block,
Jayanagar, Bengaluru City,",12.553641,77.350641
C K Achuktu,2018,Chain Snatching,4/10/2018,18:41PM,"6th cross, Khriguppe East, BSK 3rd stg, Bengluru-85",12.553644,77.331466
Jayanagar,2018,2 wheeler theft,10/31/2018,5:00:00 PM,"INFRONT OF NO 26. 1ST C MAIN. MUKAMBIKANAGARA, HOSAKEREHALLI,
Bengaluru City, Karnaka, 560085",12.5538,77.3217
K G Nagar,2017,2 wheeler theft,10/4/2017,11:45:00 PM,"No, 121/01, Khriguppe, BSK 3rd stg, Bengluru-85",12.553853,77.33183
K G Nagar,2017,2 wheeler theft,13/10/2017,3:20:00 PM,"No, 01, 5th cross, Lakshnappa garden, BSK 3rd stg, Bengluru-85",12.553897,77.333401
K G Nagar,2018,2 wheeler theft,17/10/2018,18:00 PM,"Sptagiri aprtment,4th cross,yallappa garden,banagiri,BSK 3rd stg, Bengluru-85,",12.5539,77.333408
K G Nagar,2018,2 wheeler theft,21/1/2018,15:45 PM,"Shrinivas choultry,anjaneya nagara,BSK 3rd stg, Bengluru-85",12.554022,77.330859
K G Nagar,2017,2 wheeler theft,19/06/2017,1:30:00 PM,"No, 43/02, 20th cross, Kaveri Tank, Ittamadu,BSK 3rd stg, Bengluru-85",12.55406,77.332236
K G Nagar,2018,2 wheeler theft,5/3/2018,9:15:00 AM,"No-27/1,30th main 7th cross,BSK 3rd stg, Bengluru-85,",12.554092,77.334384
K G Nagar,2018,2 wheeler theft,4/4/2018,8:00:00 AM,"No-35,5th main,papayya garden, BSK 3rd stg, Bengluru-85,",12.554148,77.334276
C K Achuktu,2018,Chain Snatching,18/08/2018,21:05PM,"5th cross, Techars layout, BSK 3rd stg, Bengluru-85",12.554174,77.334047
K G Nagar,2018,2 wheeler theft,5/4/2018,6:00:00 PM,"No-27/B,6th cross,30th main,lakshmanappa garden,BSK 3rd stg, Bengluru-85,",12.554187,77.333795
C K Achuktu,2018,Chain Snatching,26/02/2018,16:35PM,"1st cross, K.G. layout, BSK 3rd stg, Bengluru-85",12.55421,770325591
K G Nagar,2017,2 wheeler theft,10/10/2017,10:00:00 PM,"No, 462, 7th main, 2nd cross, Near BTL school, BSK 3rd stg, Bengluru-85",12.554269,77.325595
K G Nagar,2018,2 wheeler theft,26/01/2018,18:00 PM,"shivashankara sabangana jana bajar,BSK 3rd stg, Bengluru-85",12.554278,77.324358
K G Nagar,2018,2 wheeler theft,23/02/2018,5:30:00 AM,"No-43 1st sloor,2nd cross,rama mandira road,kaveri nagara BSK 3rd stg, Bengluru-85,",12.554295,77.330244
K G Nagar,2018,2 wheeler theft,4/9/2018,11:00:00 AM,"No-56/a 3rd cross,3rd main,kreguppe,BSK 3rd stg, Bengluru-85,",12.554351,77.332335
K G Nagar,2018,2 wheeler theft,1/4/2018,6:45:00 AM,"No-56,padma vasanta,4th main,BSK 3rd stg, Bengluru-85,",12.554358,77.333815
K G Nagar,2018,2 wheeler theft,3/7/2018,10:30:00 AM,"No-224,1st cross,2nd blosk,BSK 3rd stg, Bengluru-85,",12.5544,77.325016
K G Nagar,2018,2 wheeler theft,30/10/2018,18:30 PM,"NO-20/a,2nd main,2nd cross,kreguppe,BSK 3rd stg, Bengluru-85,",12.554428,77.332372
K G Nagar,2018,2 wheeler theft,26/10/2018,15:30 PM,"No-239,1st cross,2nd main road,kreguppe,BSK 3rd stg, Bengluru-85,",12.554478,77.32511
C K Achuktu,2016,2 wheeler theft,24/01/2016,8:15:00 PM,"Opp Banasankari Temple Kanakapura Main Road,Shakambarinagara",12.554511,77.350073
Subramanyapura,2017,Assault,23/12/2017,2:00,"Shalini Ground, Near
Shalani Park, 5th Block
Jayanagar, Bengaluru City,",12.554511,77.350073
Banashankari,2015,Robbery,14/05/2015,0:05,"INFRONT OF RAYMOND SHOW ROOM, ELEPHANT ROCK ROAD, 3RD BLOCK JAYANAGAR Bangalore",12.554512,77
C K Achuktu,2018,Chain Snatching,14/06/2018,21:35PM,"Near Venu Store, 5th main, BSK 3rd stg, Bengluru-85",12.554525,77.325492
